State,Year,Table,Measure,Characteristic Label,Format,Value
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,314
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,302
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,300
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,297
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,246
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,222
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,237
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,195
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,183
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,181
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,159
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,161
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,133
Nevada,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,84
Nevada,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,7
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,22.69356689
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,10.73764172
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,11.38216032
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,9.974130497
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,8.696615521
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,8.072492048
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,7.951443187
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,7.543048712
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,6.267515924
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,5.766233766
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,6.258747722
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,5.119050744
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,4.907087121
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,4.908075275
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,4.209913154
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,4.20992077
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,3.562627237
Nevada,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,2.282050585
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,91
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,50
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,55
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,52
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,38
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,40
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,49
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,49
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,39
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,39
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,37
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,28
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,25
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,32
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,45
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,37
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,24
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,14
New Hampshire,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,1
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,7.118272841
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,3.964478275
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,4.232722795
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,4.089014705
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,2.81752799
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,2.985520227
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,3.604531411
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,3.450461235
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,2.669039146
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,2.605036404
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,2.440311305
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,1.811242642
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,1.584685598
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,2.024163451
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,2.807061319
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,2.21146375
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,1.445870233
New Hampshire,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,0.82058496
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,1184
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,641
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,629
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,584
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,591
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,577
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,631
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,628
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,513
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,502
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,484
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,421
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,411
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,451
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,429
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,393
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,347
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,245
New Jersey,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,28
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,11.40072988
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,6.13232818
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,5.944617711
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,5.469803686
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,5.413327227
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,5.365245853
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,5.939773893
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,5.723451569
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,4.604076358
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,4.519835053
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,4.321235659
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,3.694538051
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,3.625297698
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,3.991927632
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,3.705047155
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,3.318051721
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,2.952211606
New Jersey,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,2.065384161
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,1193
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,572
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,506
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,499
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,479
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,540
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,621
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,559
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,539
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,481
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,428
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,397
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,387
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,336
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,341
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,325
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,262
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,177
New Mexico,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,59
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,45.17741508
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,21.45455909
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,18.71163375
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,18.39495705
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,17.23827689
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,19.78094436
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,22.79903077
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,19.50385541
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,18.93553487
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,17.01029105
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,15.17407644
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,14.17350946
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,14.19298053
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,12.24355938
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,12.31936416
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,11.57118952
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,9.504117242
New Mexico,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,6.393584742
New York,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,6605
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,4119
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,3896
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,3684
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,3742
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,4066
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,4339
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,3995
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,3735
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,3446
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,3152
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,3115
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,3150
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,3263
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,3522
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,3677
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,3283
New York,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,1751
New York,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,136
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,27.71541867
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,17.48339311
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,16.42336536
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,15.63620775
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,15.7460435
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,17.67849146
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,19.44789318
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,17.47540539
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,16.32101938
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,15.13614182
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,13.7783917
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,13.47621437
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,13.61043899
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,14.08122489
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,14.86860158
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,15.14621015
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,13.6073313
New York,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,7.169882399
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,765
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,485
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,539
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,478
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,490
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,521
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,491
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,492
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,467
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,423
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,360
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,378
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,426
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,393
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,413
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,349
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,267
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,109
North Carolina,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,11
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,6.344546178
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,4.02019214
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,4.479981382
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,3.95721571
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,4.003627777
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,4.188001897
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,3.872025992
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,3.770230505
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,3.561188385
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,3.247625702
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,2.783447764
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,2.907804146
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,3.310897984
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,3.037587244
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,3.100763554
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,2.605235852
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,2.054921036
North Carolina,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,0.849544831
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,186
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,122
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,105
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,113
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,113
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,129
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,104
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,114
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,113
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,79
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,83
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,87
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,58
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,72
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,102
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,71
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,61
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,29
North Dakota,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,19
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,16.69059584
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,11.10807612
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,10.03536271
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,10.7660061
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,11.23148792
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,12.92455666
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,10.37406484
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,11.35232025
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,11.29209553
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,8.080188197
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,8.808235169
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,9.511315185
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,6.552191595
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,8.31792976
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,11.84806598
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,8.237614572
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,6.986599473
North Dakota,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,3.254769921
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,3263
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,1328
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,1396
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,1342
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,1337
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,1356
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,1392
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 7,Number,1387
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 8,Number,1244
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 9,Number,1149
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 10,Number,1010
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 11,Number,973
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 12,Number,1029
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 13,Number,1019
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 14,Number,1084
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 15,Number,1150
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 16,Number,868
Ohio,2015,Child Victims by Age,Victims (unique count) by age,Age 17,Number,622
Ohio,2015,Child Victims by Age,Victims (unique count) by age,"Unborn, Unknown, and 18�21",Number,57
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age <1,Rate,23.46553522
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 1,Rate,9.574069268
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 2,Rate,10.04316547
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 3,Rate,9.723298966
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 4,Rate,9.666970341
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 5,Rate,9.672449213
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 6,Rate,9.802195635
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 7,Rate,9.541170806
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 8,Rate,8.458442124
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 9,Rate,7.798924848
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 10,Rate,6.892316091
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 11,Rate,6.533928751
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 12,Rate,6.949650491
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 13,Rate,6.840762621
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 14,Rate,7.025685231
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 15,Rate,7.346271288
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 16,Rate,5.619723416
Ohio,2015,Child Victims by Age,"Victims (unique count) by age, rate per 1,000 children",Age 17,Rate,3.996170872
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age <1,Number,2441
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 1,Number,1147
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 2,Number,1065
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 3,Number,989
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 4,Number,986
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 5,Number,948
Oklahoma,2015,Child Victims by Age,Victims (unique count) by age,Age 6,Number,930
