This, is, the, Titanic, Dataset.
It, contains, all, passengers, that, were, aboard, the, titanic, when
570,1,2,male,62.0,0,0,$10.5,S,
571,1,1,female,53.0,2,0,$51.4792,S,C
572,1,1,male,36.0,0,0,$26.3875,S,E
573,1,3,female,,0,0,$7.75,Q,
574,0,3,male,16.0,0,0,$8.05,S,
575,0,3,male,19.0,0,0,$14.5,S,
576,1,2,female,34.0,0,0,$13.0,S,
577,1,1,female,39.0,1,0,$55.9,S,E
578,0,3,female,,1,0,$14.4583,C,
579,1,3,male,32.0,0,0,$7.925,S,
580,1,2,female,25.0,1,1,$30.0,S,
581,1,1,female,39.0,1,1,$110.8833,C,C
582,0,2,male,54.0,0,0,$26.0,S,
583,0,1,male,36.0,0,0,$40.125,C,A
584,0,3,male,,0,0,$8.7125,C,
585,1,1,female,18.0,0,2,$79.65,S,E
586,0,2,male,47.0,0,0,$15.0,S,
587,1,1,male,60.0,1,1,$79.2,C,B
588,0,3,male,22.0,0,0,$8.05,S,
589,0,3,male,,0,0,$8.05,S,
590,0,3,male,35.0,0,0,$7.125,S,
591,1,1,female,52.0,1,0,$78.2667,C,D
592,0,3,male,47.0,0,0,$7.25,S,
593,0,3,female,,0,2,$7.75,Q,
594,0,2,male,37.0,1,0,$26.0,S,
595,0,3,male,36.0,1,1,$24.15,S,
596,1,2,female,,0,0,$33.0,S,
597,0,3,male,49.0,0,0,$0.0,S,
598,0,3,male,,0,0,$7.225,C,
599,1,1,male,49.0,1,0,$56.9292,C,A
600,1,2,female,24.0,2,1,$27.0,S,
601,0,3,male,,0,0,$7.8958,S,
602,0,1,male,,0,0,$42.4,S,
603,0,3,male,44.0,0,0,$8.05,S,
604,1,1,male,35.0,0,0,$26.55,C,
605,0,3,male,36.0,1,0,$15.55,S,
606,0,3,male,30.0,0,0,$7.8958,S,
607,1,1,male,27.0,0,0,$30.5,S,
608,1,2,female,22.0,1,2,$41.5792,C,
609,1,1,female,40.0,0,0,$153.4625,S,C
610,0,3,female,39.0,1,5,$31.275,S,
611,0,3,male,,0,0,$7.05,S,
612,1,3,female,,1,0,$15.5,Q,
613,0,3,male,,0,0,$7.75,Q,
614,0,3,male,35.0,0,0,$8.05,S,
615,1,2,female,24.0,1,2,$65.0,S,
616,0,3,male,34.0,1,1,$14.4,S,
617,0,3,female,26.0,1,0,$16.1,S,
618,1,2,female,4.0,2,1,$39.0,S,F
619,0,2,male,26.0,0,0,$10.5,S,
620,0,3,male,27.0,1,0,$14.4542,C,
621,1,1,male,42.0,1,0,$52.5542,S,D
622,1,3,male,20.0,1,1,$15.7417,C,
623,0,3,male,21.0,0,0,$7.8542,S,
624,0,3,male,21.0,0,0,$16.1,S,
625,0,1,male,61.0,0,0,$32.3208,S,D
626,0,2,male,57.0,0,0,$12.35,Q,
627,1,1,female,21.0,0,0,$77.9583,S,D
628,0,3,male,26.0,0,0,$7.8958,S,
629,0,3,male,,0,0,$7.7333,Q,
630,1,1,male,80.0,0,0,$30.0,S,A
631,0,3,male,51.0,0,0,$7.0542,S,
632,1,1,male,32.0,0,0,$30.5,C,B
633,0,1,male,,0,0,$0.0,S,
634,0,3,female,9.0,3,2,$27.9,S,
635,1,2,female,28.0,0,0,$13.0,S,
636,0,3,male,32.0,0,0,$7.925,S,
637,0,2,male,31.0,1,1,$26.25,S,
638,0,3,female,41.0,0,5,$39.6875,S,
639,0,3,male,,1,0,$16.1,S,
640,0,3,male,20.0,0,0,$7.8542,S,
641,1,1,female,24.0,0,0,$69.3,C,B
642,0,3,female,2.0,3,2,$27.9,S,
643,1,3,male,,0,0,$56.4958,S,
644,1,3,female,0.75,2,1,$19.2583,C,
645,1,1,male,48.0,1,0,$76.7292,C,D
646,0,3,male,19.0,0,0,$7.8958,S,
647,1,1,male,56.0,0,0,$35.5,C,A
648,0,3,male,,0,0,$7.55,S,
649,1,3,female,23.0,0,0,$7.55,S,
650,0,3,male,,0,0,$7.8958,S,
651,1,2,female,18.0,0,1,$23.0,S,
652,0,3,male,21.0,0,0,$8.4333,S,
653,1,3,female,,0,0,$7.8292,Q,
654,0,3,female,18.0,0,0,$6.75,Q,
655,0,2,male,24.0,2,0,$73.5,S,
656,0,3,male,,0,0,$7.8958,S,
657,0,3,female,32.0,1,1,$15.5,Q,
658,0,2,male,23.0,0,0,$13.0,S,
659,0,1,male,58.0,0,2,$113.275,C,D
660,1,1,male,50.0,2,0,$133.65,S,
661,0,3,male,40.0,0,0,$7.225,C,
662,0,1,male,47.0,0,0,$25.5875,S,E
663,0,3,male,36.0,0,0,$7.4958,S,
664,1,3,male,20.0,1,0,$7.925,S,
665,0,2,male,32.0,2,0,$73.5,S,
666,0,2,male,25.0,0,0,$13.0,S,
667,0,3,male,,0,0,$7.775,S,
668,0,3,male,43.0,0,0,$8.05,S,
669,1,1,female,,1,0,$52.0,S,C
670,1,2,female,40.0,1,1,$39.0,S,
671,0,1,male,31.0,1,0,$52.0,S,B
672,0,2,male,70.0,0,0,$10.5,S,
673,1,2,male,31.0,0,0,$13.0,S,
674,0,2,male,,0,0,$0.0,S,
675,0,3,male,18.0,0,0,$7.775,S,
676,0,3,male,24.5,0,0,$8.05,S,
677,1,3,female,18.0,0,0,$9.8417,S,
678,0,3,female,43.0,1,6,$46.9,S,
679,1,1,male,36.0,0,1,$512.3292,C,B
680,0,3,female,,0,0,$8.1375,Q,
681,1,1,male,27.0,0,0,$76.7292,C,D
682,0,3,male,20.0,0,0,$9.225,S,
683,0,3,male,14.0,5,2,$46.9,S,
684,0,2,male,60.0,1,1,$39.0,S,
685,0,2,male,25.0,1,2,$41.5792,C,
686,0,3,male,14.0,4,1,$39.6875,S,
687,0,3,male,19.0,0,0,$10.1708,S,
688,0,3,male,18.0,0,0,$7.7958,S,
689,1,1,female,15.0,0,1,$211.3375,S,B
690,1,1,male,31.0,1,0,$57.0,S,B
691,1,3,female,4.0,0,1,$13.4167,C,
692,1,3,male,,0,0,$56.4958,S,
693,0,3,male,25.0,0,0,$7.225,C,
694,0,1,male,60.0,0,0,$26.55,S,
695,0,2,male,52.0,0,0,$13.5,S,
696,0,3,male,44.0,0,0,$8.05,S,
697,1,3,female,,0,0,$7.7333,Q,
698,0,1,male,49.0,1,1,$110.8833,C,C
699,0,3,male,42.0,0,0,$7.65,S,F
700,1,1,female,18.0,1,0,$227.525,C,C
701,1,1,male,35.0,0,0,$26.2875,S,E
702,0,3,female,18.0,0,1,$14.4542,C,
703,0,3,male,25.0,0,0,$7.7417,Q,
704,0,3,male,26.0,1,0,$7.8542,S,
705,0,2,male,39.0,0,0,$26.0,S,
706,1,2,female,45.0,0,0,$13.5,S,
707,1,1,male,42.0,0,0,$26.2875,S,E
708,1,1,female,22.0,0,0,$151.55,S,
709,1,3,male,,1,1,$15.2458,C,
710,1,1,female,24.0,0,0,$49.5042,C,C
711,0,1,male,,0,0,$26.55,S,C
712,1,1,male,48.0,1,0,$52.0,S,C
713,0,3,male,29.0,0,0,$9.4833,S,
714,0,2,male,52.0,0,0,$13.0,S,
715,0,3,male,19.0,0,0,$7.65,S,F
716,1,1,female,38.0,0,0,$227.525,C,C
717,1,2,female,27.0,0,0,$10.5,S,E
718,0,3,male,,0,0,$15.5,Q,
719,0,3,male,33.0,0,0,$7.775,S,
720,1,2,female,6.0,0,1,$33.0,S,
721,0,3,male,17.0,1,0,$7.0542,S,
722,0,2,male,34.0,0,0,$13.0,S,
723,0,2,male,50.0,0,0,$13.0,S,
724,1,1,male,27.0,1,0,$53.1,S,E
725,0,3,male,20.0,0,0,$8.6625,S,
726,1,2,female,30.0,3,0,$21.0,S,
727,1,3,female,,0,0,$7.7375,Q,
728,0,2,male,25.0,1,0,$26.0,S,
729,0,3,female,25.0,1,0,$7.925,S,
730,1,1,female,29.0,0,0,$211.3375,S,B
731,0,3,male,11.0,0,0,$18.7875,C,
732,0,2,male,,0,0,$0.0,S,
733,0,2,male,23.0,0,0,$13.0,S,
734,0,2,male,23.0,0,0,$13.0,S,
735,0,3,male,28.5,0,0,$16.1,S,
736,0,3,female,48.0,1,3,$34.375,S,
737,1,1,male,35.0,0,0,$512.3292,C,B
738,0,3,male,,0,0,$7.8958,S,
739,0,3,male,,0,0,$7.8958,S,
740,1,1,male,,0,0,$30.0,S,D
741,0,1,male,36.0,1,0,$78.85,S,C
742,1,1,female,21.0,2,2,$262.375,C,B
743,0,3,male,24.0,1,0,$16.1,S,
744,1,3,male,31.0,0,0,$7.925,S,
745,0,1,male,70.0,1,1,$71.0,S,B
746,0,3,male,16.0,1,1,$20.25,S,
747,1,2,female,30.0,0,0,$13.0,S,
748,0,1,male,19.0,1,0,$53.1,S,D
749,0,3,male,31.0,0,0,$7.75,Q,
750,1,2,female,4.0,1,1,$23.0,S,
751,1,3,male,6.0,0,1,$12.475,S,E
752,0,3,male,33.0,0,0,$9.5,S,
753,0,3,male,23.0,0,0,$7.8958,S,
754,1,2,female,48.0,1,2,$65.0,S,
755,1,2,male,0.67,1,1,$14.5,S,
756,0,3,male,28.0,0,0,$7.7958,S,
757,0,2,male,18.0,0,0,$11.5,S,
758,0,3,male,34.0,0,0,$8.05,S,
759,1,1,female,33.0,0,0,$86.5,S,B
760,0,3,male,,0,0,$14.5,S,
761,0,3,male,41.0,0,0,$7.125,S,
762,1,3,male,20.0,0,0,$7.2292,C,
763,1,1,female,36.0,1,2,$120.0,S,B
764,0,3,male,16.0,0,0,$7.775,S,
765,1,1,female,51.0,1,0,$77.9583,S,D
766,0,1,male,,0,0,$39.6,C,
767,0,3,female,30.5,0,0,$7.75,Q,
768,0,3,male,,1,0,$24.15,Q,
769,0,3,male,32.0,0,0,$8.3625,S,
770,0,3,male,24.0,0,0,$9.5,S,
771,0,3,male,48.0,0,0,$7.8542,S,
772,0,2,female,57.0,0,0,$10.5,S,E
773,0,3,male,,0,0,$7.225,C,
774,1,2,female,54.0,1,3,$23.0,S,
775,0,3,male,18.0,0,0,$7.75,S,
776,0,3,male,,0,0,$7.75,Q,F
777,1,3,female,5.0,0,0,$12.475,S,
778,0,3,male,,0,0,$7.7375,Q,
779,1,1,female,43.0,0,1,$211.3375,S,B
780,1,3,female,13.0,0,0,$7.2292,C,
781,1,1,female,17.0,1,0,$57.0,S,B
782,0,1,male,29.0,0,0,$30.0,S,D
783,0,3,male,,1,2,$23.45,S,
784,0,3,male,25.0,0,0,$7.05,S,
785,0,3,male,250,0,0,$7.25,S,
786,1,3,female,18.0,0,0,$7.4958,S,
787,0,3,male,8.0,4,1,$29.125,Q,
788,1,3,male,1.0,1,2,$20.575,S,
789,0,1,male,46.0,0,0,$79.2,C,B
790,0,3,male,,0,0,$7.75,Q,
791,0,2,male,16.0,0,0,$26.0,S,
792,0,3,female,,8,2,$69.55,S,
793,0,1,male,,0,0,$30.6958,C,
794,0,3,male,25.0,0,0,$7.8958,S,
795,0,2,male,39.0,0,0,$13.0,S,
796,1,1,female,49.0,0,0,$25.9292,S,D
797,1,3,female,31.0,0,0,$8.6833,S,
798,0,3,male,30.0,0,0,$7.2292,C,
799,0,3,female,30.0,1,1,$24.15,S,
800,0,2,male,34.0,0,0,$13.0,S,
801,1,2,female,31.0,1,1,$26.25,S,
802,1,1,male,11.0,1,2,$120.0,S,B
803,1,3,male,0.42,0,1,$8.5167,C,
804,1,3,male,27.0,0,0,$6.975,S,
805,0,3,male,31.0,0,0,$7.775,S,
806,0,1,male,39.0,0,0,$0.0,S,A
807,0,3,female,18.0,0,0,$7.775,S,
808,0,2,male,39.0,0,0,$13.0,S,
809,1,1,female,33.0,1,0,$53.1,S,E
810,0,3,male,26.0,0,0,$7.8875,S,
811,0,3,male,39.0,0,0,$24.15,S,
812,0,2,male,35.0,0,0,$10.5,S,
813,0,3,female,6.0,4,2,$31.275,S,
814,0,3,male,30.5,0,0,$8.05,S,
815,0,1,male,,0,0,$0.0,S,B
816,0,3,female,23.0,0,0,$7.925,S,
817,0,2,male,31.0,1,1,$37.0042,C,
818,0,3,male,43.0,0,0,$6.45,S,
819,0,3,male,10.0,3,2,$27.9,S,
820,1,1,female,52.0,1,1,$93.5,S,B
821,1,3,male,27.0,0,0,$8.6625,S,
822,0,1,male,38.0,0,0,$0.0,S,
823,1,3,female,27.0,0,1,$12.475,S,E
824,0,3,male,2.0,4,1,$39.6875,S,
825,0,3,male,,0,0,$6.95,Q,
826,0,3,male,,0,0,$56.4958,S,
827,1,2,male,1.0,0,2,$37.0042,C,
828,1,3,male,,0,0,$7.75,Q,
829,1,1,female,62.0,0,0,$80.0,,B
830,1,3,female,15.0,1,0,$14.4542,C,
831,1,2,male,0.83,1,1,$18.75,S,
832,0,3,male,,0,0,$7.2292,C,
833,0,3,male,23.0,0,0,$7.8542,S,
834,0,3,male,18.0,0,0,$8.3,S,
835,1,1,female,39.0,1,1,$83.1583,C,E
836,0,3,male,21.0,0,0,$8.6625,S,
837,0,3,male,,0,0,$8.05,S,
838,1,3,male,32.0,0,0,$56.4958,S,
839,1,1,male,,0,0,$29.7,C,C
840,0,3,male,20.0,0,0,$7.925,S,
841,0,2,male,16.0,0,0,$10.5,S,
842,1,1,female,30.0,0,0,$31.0,C,
843,0,3,male,34.5,0,0,$6.4375,C,
844,0,3,male,17.0,0,0,$8.6625,S,
845,0,3,male,42.0,0,0,$7.55,S,
846,0,3,male,,8,2,$69.55,S,
847,0,3,male,35.0,0,0,$7.8958,C,
848,0,2,male,28.0,0,1,$33.0,S,
849,1,1,female,,1,0,$89.1042,C,C
850,0,3,male,4.0,4,2,$31.275,S,
851,0,3,male,74.0,0,0,$7.775,S,
852,0,3,female,9.0,1,1,$15.2458,C,
853,1,1,female,16.0,0,1,$39.4,S,D
854,0,2,female,44.0,1,0,$26.0,S,
855,1,3,female,18.0,0,1,$9.35,S,
856,1,1,female,45.0,1,1,$164.8667,S,
857,1,1,male,51.0,0,0,$26.55,S,E
858,1,3,female,24.0,0,3,$19.2583,C,
859,0,3,male,,0,0,$7.2292,C,
860,0,3,male,41.0,2,0,$14.1083,S,
861,0,2,male,21.0,1,0,$11.5,S,
862,1,1,female,48.0,0,0,$25.9292,S,D
863,0,3,female,,8,2,$69.55,S,
864,0,2,male,24.0,0,0,$13.0,S,
865,1,2,female,42.0,0,0,$13.0,S,
866,1,2,female,27.0,1,0,$13.8583,C,
867,0,1,male,31.0,0,0,$50.4958,S,A
868,0,3,male,,0,0,$9.5,S,
869,1,3,male,4.0,1,1,$11.1333,S,
870,0,3,male,26.0,0,0,$7.8958,S,
871,1,1,female,47.0,1,1,$52.5542,S,D
872,0,1,male,33.0,0,0,$5.0,S,B
873,0,3,male,47.0,0,0,$9.0,S,
874,1,2,female,28.0,1,0,$24.0,C,
875,1,3,female,15.0,0,0,$7.225,C,
876,0,3,male,20.0,0,0,$9.8458,S,
877,0,3,male,19.0,0,0,$7.8958,S,
878,0,3,male,,0,0,$7.8958,S,
879,1,1,female,56.0,0,1,$83.1583,C,C
880,1,2,female,25.0,0,1,$26.0,S,
881,0,3,male,33.0,0,0,$7.8958,S,
882,0,3,female,22.0,0,0,$10.5167,S,
883,0,2,male,28.0,0,0,$10.5,S,
884,0,3,male,25.0,0,0,$7.05,S,
885,0,3,female,39.0,0,5,$29.125,Q,
886,0,2,male,27.0,0,0,$13.0,S,
887,1,1,female,19.0,0,0,$30.0,S,B
888,0,3,female,,1,2,$23.45,S,
889,1,1,male,26.0,0,0,$30.0,C,C
890,0,3,male,32.0,0,0,$7.75,Q,
891,0,2,male,24.0,0,0,$10.5,S,
892,0,3,male,34.0,1,1,$14.4,S,
893,0,3,male,36.0,0,0,$7.8958,S,
End, of, the , Dataset, , , 
Get, more, Datasets, on, Kaggle, ., com
